#z=7.4
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   27.0027536342
0.517632461921   33.4516409993
0.535886731268   26.8271095514
0.554784736034   26.705686159
0.574349177499   26.5427738873
0.594603557501   26.2849756842
0.615572206672   25.9953456989
0.63728031366   25.6241793822
0.659753955386   25.1547659617
0.683020128377   24.5747516624
0.707106781187   23.8472579626
0.732042847973   22.8935327573
0.757858283255   20.9228569528
0.784584097897   19.4931145007
0.812252396356   17.6261773503
0.840896415254   15.6208003247
0.870550563296   13.2866769509
0.901250462611   10.5889923399
0.933032991537   7.49353717297
0.965936328925   3.96731558674
1.0   0.061992915707
1.03526492384   0.055018475878
1.07177346254   0.0504001202809
1.10956947207   0.0468630537248
1.148698355   0.0441903842923
1.189207115   0.0422004547398
1.23114441334   0.0407430359146
1.27456062732   0.0396955049413
1.31950791077   0.038959125953
1.36604025675   0.0384555206167
1.41421356237   0.0381233881101
1.46408569595   0.0379155127638
1.51571656651   0.0377960830711
1.56916819579   0.0377383366892
1.62450479271   0.0377225395217
1.68179283051   0.0377342999078
1.74110112659   0.0377632092288
1.80250092522   0.0384085788432
1.86606598307   0.0378446986961
1.93187265785   0.0378881868994
2.0   0.037929679089
2.07052984768   0.0379674975515
2.14354692507   0.0380006352522
2.21913894414   0.0380285610049
2.29739670999   0.0380510393413
2.37841423001   0.0380679665179
2.46228882669   0.038079235447
2.54912125464   0.0380846457144
2.63901582155   0.0380838693589
2.73208051351   0.0380764757917
2.82842712475   0.0380619687283
2.92817139189   0.0380397675588
3.03143313302   0.0380030734168
3.13833639159   0.0379409633723
3.24900958542   0.037781390199
3.36358566101   0.037385617131
3.48220225318   0.0363525574707
3.60500185044   0.0338077752728
3.73213196615   0.0280215546206
3.8637453157   0.0159223120727
4.0   5.64125216914e-33
4.14105969537   4.36253615447e-32
4.28709385015   1.70170713982e-30
4.43827788827   5.66130231596e-29
4.59479341999   1.59083118604e-27
4.75682846001   3.77016026442e-26
4.92457765338   7.55006410125e-25
5.09824250928   1.28198897581e-23
5.27803164309   1.85353539546e-22
5.46416102702   2.29281013606e-21
5.65685424949   2.43904407731e-20
5.85634278378   2.2434463714e-19
6.06286626604   1.7943675404e-18
6.27667278317   1.25524843725e-17
6.49801917085   7.72567895526e-17
6.72717132203   4.20842401892e-16
6.96440450637   2.04111040747e-15
7.21000370089   8.86643733993e-15
7.46426393229   3.46981205119e-14
7.7274906314   1.23034808666e-13
8.0   3.97508287439e-13
8.28211939073   1.17657640459e-12
8.57418770029   3.20722144841e-12
8.87655577654   8.09215242186e-12
9.18958683998   1.89899703636e-11
9.51365692002   4.16402526285e-11
9.84915530676   8.56918919013e-11
10.1964850186   1.66195313361e-10
10.5560632862   3.04983774769e-10
10.928322054   5.31564643425e-10
11.313708499   8.83123411943e-10
11.7126855676   1.40334687386e-09
12.1257325321   2.13999077794e-09
12.5533455663   3.14139702383e-09
12.9960383417   4.45242146528e-09
13.4543426441   6.11038480568e-09
13.9288090127   8.14166175342e-09
14.4200074018   1.055938522e-08
14.9285278646   1.33625137847e-08
15.4549812628   1.6536261265e-08
16.0   2.00536782332e-08
16.5642387815   2.38780430542e-08
17.1483754006   2.79656726261e-08
17.7531115531   3.22687872e-08
18.37917368   3.67381352629e-08
19.02731384   4.13251779819e-08
19.6983106135   4.59837272874e-08
20.3929700371   5.06710135551e-08
21.1121265724   5.534822118e-08
21.8566441081   5.99805716211e-08
22.627416998   6.45370557402e-08
23.4253711351   6.89899242241e-08
24.2514650642   7.33140408907e-08
25.1066911327   7.74861927182e-08
25.9920766834   8.14844357676e-08
26.9086852881   8.52875400776e-08
27.8576180255   8.88745805024e-08
28.8400148035   9.22247049605e-08
29.8570557292   9.5317096761e-08
30.9099625256   9.81311334051e-08
32.0   1.00646730329e-07
33.1284775629   1.02844844506e-07
34.2967508012   1.04708100062e-07
35.5062231062   1.06221486999e-07
36.7583473599   1.07373075952e-07
38.0546276801   1.08154688081e-07
39.396621227   1.08562460781e-07
40.7859400742   1.08597257467e-07
42.2242531447   1.08264882811e-07
43.7132882161   1.07576082103e-07
45.2548339959   1.06546322739e-07
46.8507422703   1.05195374713e-07
48.5029301283   1.03546722873e-07
50.2133822654   1.01626855096e-07
51.9841533668   9.94644762099e-08
53.8173705762   9.70896977689e-08
55.715236051   9.45332492854e-08
57.6800296071   9.18257486313e-08
59.7141114584   8.89970595415e-08
61.8199250512   8.60757538645e-08
64.0   8.30886865784e-08
66.2569551258   8.00606833774e-08
68.5935016023   7.70143342727e-08
71.0124462123   7.3969882215e-08
73.5166947198   7.09451931246e-08
76.1092553602   6.79557926215e-08
78.7932424541   6.50149548537e-08
81.5718801484   6.21338297754e-08
84.4485062895   5.93215967164e-08
87.4265764323   5.65856338563e-08
90.5096679919   5.39316950611e-08
93.7014845405   5.13640873259e-08
97.0058602567   4.88858436967e-08
100.426764531   4.64988879693e-08
103.968306734   4.42041886674e-08
107.634741152   4.20019007808e-08
111.430472102   3.98914945183e-08
115.360059214   3.7871870924e-08
119.428222917   3.59414646351e-08
123.639850102   3.40983343679e-08
128.0   3.2340241917e-08
132.513910252   3.06647205694e-08
137.187003205   2.90691338933e-08
142.024892425   2.75507258672e-08
147.03338944   2.61066632955e-08
152.21851072   2.47340714056e-08
157.586484908   2.34300634673e-08
163.143760297   2.21917652019e-08
168.897012579   2.10163346815e-08
174.853152865   1.9900978345e-08
181.019335984   1.88429636903e-08
187.402969081   1.78396291355e-08
194.011720513   1.68883914839e-08
200.853529062   1.59867513697e-08
207.936613467   1.51322970134e-08
215.269482305   1.43227065707e-08
222.860944204   1.35557493185e-08
230.720118428   1.28292858875e-08
238.856445833   1.21412677196e-08
247.279700205   1.14897359018e-08
256.0   1.08728195047e-08
265.027820503   1.02887335344e-08
274.374006409   9.73577658807e-09
284.049784849   9.21232829004e-09
294.066778879   8.71684657098e-09
304.437021441   8.24786484322e-09
315.172969816   7.80398911513e-09
326.287520594   7.38389507999e-09
337.794025158   6.98632520813e-09
349.706305729   6.61008586539e-09
362.038671968   6.25404447633e-09
374.805938162   5.91712674658e-09
388.023441027   5.59831395559e-09
401.707058123   5.29664032793e-09
415.873226934   5.01119048943e-09
430.53896461   4.74109701225e-09
445.721888408   4.48553805142e-09
461.440236857   4.24373507443e-09
477.712891667   4.01495068394e-09
494.55940041   3.79848653326e-09
512.0   3.59368133336e-09
530.055641007   3.39990894974e-09
548.748012819   3.21657658697e-09
568.099569699   3.04312305862e-09
588.133557758   2.8790171398e-09
608.874042881   2.72375599962e-09
630.345939633   2.57686371055e-09
652.575041187   2.4378898318e-09
675.588050316   2.30640806373e-09
699.412611458   2.18201497022e-09
724.077343935   2.06432876612e-09
749.611876324   1.95298816687e-09
776.046882053   1.84765129741e-09
803.414116246   1.74799465762e-09
831.746453869   1.65371214164e-09
861.07792922   1.56451410842e-09
891.443776815   1.480126501e-09
922.880473713   1.40029001219e-09
955.425783334   1.32475929418e-09
989.118800819   1.25330221004e-09
1024.0   1.18569912481e-09
1060.11128201   1.1217422343e-09
1097.49602564   1.06123492957e-09
1136.1991394   1.0039911953e-09
1176.26711552   9.49835040187e-10
1217.74808576   8.98599957861e-10
1260.69187927   8.50128416568e-10
1305.15008237   8.04271376188e-10
1351.17610063   7.6088783113e-10
1398.82522292   7.19844377729e-10
1448.15468787   6.81014804854e-10
1499.22375265   6.44279706492e-10
1552.09376411   6.09526115141e-10
