#z=8.25
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   22.4049426556
0.517632461921   22.4271958934
0.535886731268   22.4544346257
0.554784736034   22.4315911461
0.574349177499   23.1534229123
0.594603557501   22.2219779216
0.615572206672   22.056577849
0.63728031366   21.8343599243
0.659753955386   21.4916649867
0.683020128377   21.1062094913
0.707106781187   20.6023960139
0.732042847973   19.9119759702
0.757858283255   18.285368307
0.784584097897   17.1584473768
0.812252396356   15.7939939638
0.840896415254   14.1552240328
0.870550563296   12.2023127647
0.901250462611   9.70589796078
0.933032991537   6.97598458483
0.965936328925   3.79862296619
1.0   0.0439858061023
1.03526492384   0.0394265212659
1.07177346254   0.036195360438
1.10956947207   0.0337225816168
1.148698355   0.031858728907
1.189207115   0.030477806584
1.23114441334   0.0294749781282
1.27456062732   0.0287641786674
1.31950791077   0.0282757331645
1.36604025675   0.0279540511631
1.41421356237   0.0277554489104
1.46408569595   0.0276461337957
1.51571656651   0.0276003750975
1.56916819579   0.0275988781181
1.62450479271   0.0276273738368
1.68179283051   0.0276754309408
1.74110112659   0.0277354898066
1.80250092522   0.0280364402522
1.86606598307   0.027871397984
1.93187265785   0.027940619498
2.0   0.0280078979208
2.07052984768   0.0280720187619
2.14354692507   0.0281322689545
2.21913894414   0.0281882977647
2.29739670999   0.0282399853334
2.37841423001   0.0282873192987
2.46228882669   0.0283302892752
2.54912125464   0.0283688125705
2.63901582155   0.0284027016227
2.73208051351   0.0284316758057
2.82842712475   0.0284554101019
2.92817139189   0.0284736098712
3.03143313302   0.0284854372857
3.13833639159   0.0284889874
3.24900958542   0.02847414853
3.36358566101   0.0284002087036
3.48220225318   0.028125977276
3.60500185044   0.0269871392804
3.73213196615   0.023925242255
3.8637453157   0.0160292916573
4.0   1.11093349561e-39
4.14105969537   4.01211368114e-38
4.28709385015   3.60638396488e-36
4.43827788827   2.63000787225e-34
4.59479341999   1.54476814135e-32
4.75682846001   7.31189494102e-31
4.92457765338   2.79979420036e-29
5.09824250928   8.71916915032e-28
5.27803164309   2.22205515903e-26
5.46416102702   4.66521064649e-25
5.65685424949   8.12628961396e-24
5.85634278378   1.1830505928e-22
6.06286626604   1.45034491058e-21
6.27667278317   1.50873720227e-20
6.49801917085   1.34205437763e-19
6.72717132203   1.02867496296e-18
6.96440450637   6.84620655491e-18
7.21000370089   3.98613902609e-17
7.46426393229   2.045449619e-16
7.7274906314   9.31714050968e-16
8.0   3.79370846101e-15
8.28211939073   1.39013587016e-14
8.57418770029   4.61394500685e-14
8.87655577654   1.39571912346e-13
9.18958683998   3.8707707082e-13
9.51365692002   9.8970898348e-13
9.84915530676   2.34552369982e-12
10.1964850186   5.17826489149e-12
10.5560632862   1.07007556848e-11
10.928322054   2.07919254469e-11
11.313708499   3.8149420502e-11
11.7126855676   6.63687649521e-11
12.1257325321   1.09902084681e-10
12.5533455663   1.7386774412e-10
12.9960383417   2.63713739136e-10
13.4543426441   3.84773179763e-10
13.9288090127   5.41778073264e-10
14.4200074018   7.38408830755e-10
14.9285278646   9.76948686141e-10
15.4549812628   1.25808855748e-09
16.0   1.5808971263e-09
16.5642387815   1.94294191089e-09
17.1483754006   2.34052619064e-09
17.7531115531   2.76899636073e-09
18.37917368   3.22307390978e-09
19.02731384   3.6971729954e-09
19.6983106135   4.18567524898e-09
20.3929700371   4.6831450788e-09
21.1121265724   5.18447932476e-09
21.8566441081   5.68499352178e-09
22.627416998   6.18045286718e-09
23.4253711351   6.66705938246e-09
24.2514650642   7.1414081144e-09
25.1066911327   7.60042504877e-09
25.9920766834   8.04129821736e-09
26.9086852881   8.46141169338e-09
27.8576180255   8.85829011204e-09
28.8400148035   9.22955922956e-09
29.8570557292   9.57292595825e-09
30.9099625256   9.88617933336e-09
32.0   1.01672119921e-08
33.1284775629   1.04140599936e-08
34.2967508012   1.06249572218e-08
35.5062231062   1.07983992831e-08
36.7583473599   1.09332108463e-08
38.0546276801   1.1028609917e-08
39.396621227   1.10842626841e-08
40.7859400742   1.11003233622e-08
42.2242531447   1.10774548321e-08
43.7132882161   1.10168276856e-08
45.2548339959   1.09200972997e-08
46.8507422703   1.07893605224e-08
48.5029301283   1.06270952197e-08
50.2133822654   1.04360871199e-08
51.9841533668   1.02193490048e-08
53.8173705762   9.98003735445e-09
55.715236051   9.72137111024e-09
57.6800296071   9.44655643654e-09
59.7141114584   9.15872036931e-09
61.8199250512   8.86085519306e-09
64.0   8.5557744011e-09
66.2569551258   8.24608024879e-09
68.5935016023   7.93414224942e-09
71.0124462123   7.62208550009e-09
73.5166947198   7.31178744725e-09
76.1092553602   7.00488158298e-09
78.7932424541   6.70276656763e-09
81.5718801484   6.40661936876e-09
84.4485062895   6.11741115689e-09
87.4265764323   5.8359248792e-09
90.5096679919   5.56277362213e-09
93.7014845405   5.2984190578e-09
97.0058602567   5.04318943796e-09
100.426764531   4.79729674698e-09
103.968306734   4.56085275069e-09
107.634741152   4.33388378001e-09
111.430472102   4.11634416919e-09
115.360059214   3.90812833043e-09
119.428222917   3.70908149231e-09
123.639850102   3.51900916134e-09
128.0   3.33768538742e-09
132.513910252   3.16485992622e-09
137.187003205   3.00026439771e-09
142.024892425   2.84361754119e-09
147.03338944   2.69462966491e-09
152.21851072   2.55300638357e-09
157.586484908   2.41845173092e-09
163.143760297   2.29067072774e-09
168.897012579   2.16937147806e-09
174.853152865   2.05426685891e-09
181.019335984   1.94507586212e-09
187.402969081   1.84152463964e-09
194.011720513   1.7433472976e-09
200.853529062   1.6502864787e-09
207.936613467   1.56209376729e-09
215.269482305   1.47852994668e-09
222.860944204   1.3993651343e-09
230.720118428   1.32437881665e-09
238.856445833   1.25335980253e-09
247.279700205   1.18610611056e-09
256.0   1.12242480448e-09
265.027820503   1.06213178741e-09
274.374006409   1.00505156474e-09
284.049784849   9.51016983563e-10
294.066778879   8.99868955387e-10
304.437021441   8.51456167474e-10
315.172969816   8.05634787509e-10
326.287520594   7.62268165227e-10
337.794025158   7.21226534048e-10
349.706305729   6.82386715151e-10
362.038671968   6.45631825928e-10
374.805938162   6.10850994353e-10
388.023441027   5.77939080433e-10
401.707058123   5.46796405632e-10
415.873226934   5.17328490931e-10
430.53896461   4.89445803959e-10
445.721888408   4.63063515489e-10
461.440236857   4.38101265451e-10
477.712891667   4.14482938509e-10
494.55940041   3.92136449156e-10
512.0   3.7099353621e-10
530.055641007   3.50989566554e-10
548.748012819   3.32063347891e-10
568.099569699   3.14156950289e-10
588.133557758   2.97215536229e-10
608.874042881   2.81187198882e-10
630.345939633   2.66022808319e-10
652.575041187   2.51675865335e-10
675.588050316   2.38102362601e-10
699.412611458   2.25260652824e-10
724.077343935   2.1311132361e-10
749.611876324   2.01617078747e-10
776.046882053   1.90742625593e-10
803.414116246   1.80454568305e-10
831.746453869   1.70721306615e-10
861.07792922   1.61512939905e-10
891.443776815   1.52801176297e-10
922.880473713   1.44559246533e-10
955.425783334   1.36761822399e-10
989.118800819   1.29384939451e-10
1024.0   1.22405923852e-10
1060.11128201   1.15803323077e-10
1097.49602564   1.09556840317e-10
1136.1991394   1.03647272369e-10
1176.26711552   9.80564508414e-11
1217.74808576   9.27671865049e-11
1260.69187927   8.77632166099e-11
1305.15008237   8.30291550305e-11
1351.17610063   7.85504450763e-11
1398.82522292   7.43133148343e-11
1448.15468787   7.03047349068e-11
1499.22375265   6.65123784177e-11
1552.09376411   6.2924583167e-11
1606.82823249   5.95303158181e-11
1663.49290774   5.63191380112e-11
1722.15585844   5.32811742988e-11
1782.88755363   5.04070818053e-11
1845.76094743   4.76880215206e-11
1910.85156667   4.51156311376e-11
1978.23760164   4.26819993529e-11
2048.0   4.03796415511e-11
2120.22256403   3.82014767989e-11
2194.99205127   3.6140806078e-11
2272.39827879   3.41912916917e-11
2352.53423103   3.23469377806e-11
2435.49617153   3.06020718878e-11
2521.38375853   2.89513275189e-11
2610.30016475   2.7389627641e-11
2702.35220126   2.5912169072e-11
2797.65044583   2.45144077106e-11
2896.30937574   2.31920445633e-11
2998.4475053   2.19410125247e-11
3104.18752821   2.07574638704e-11
3213.65646499   1.96377584243e-11
3326.98581548   1.85784523642e-11
3444.31171688   1.75762876307e-11
3565.77510726   1.6628181908e-11
3691.52189485   1.57312191438e-11
3821.70313333   1.4882640582e-11
3956.47520328   1.40798362776e-11
4096.0   1.33203370701e-11
